Execucao nº: 90, Valor Poisson: 2, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 91, Valor Poisson: 3, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 92, Valor Poisson: 2, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 93, Valor Poisson: 3, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 94, Valor Poisson: 1, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 95, Valor Poisson: 3, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 96, Valor Poisson: 1, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 97, Valor Poisson: 3, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 98, Valor Poisson: 1, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 99, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
